path,pred_label,confidence,p(Portraits),p(Protests),p(Casualities),p(Posts)
/content/drive/MyDrive/Data/Predict/453909977_513839181191973_2965788578378277320_n.heic,notlabeled,0.6056,0.0874,0.6056,0.1943,0.1127
/content/drive/MyDrive/Data/Predict/453757545_1918948228577413_197965291667852693_n.jpg,notlabeled,0.3285,0.3069,0.1191,0.3285,0.2455
/content/drive/MyDrive/Data/Predict/453685286_2722186557956282_7563843634847744046_n.jpg,notlabeled,0.3853,0.3853,0.1889,0.1701,0.2557
/content/drive/MyDrive/Data/Predict/453612560_521002403918625_2472374377691399333_n.jpg,notlabeled,0.3297,0.2869,0.2032,0.3297,0.1802
/content/drive/MyDrive/Data/Predict/454187943_1239035887460432_2676217472108198347_n.jpg,notlabeled,0.5414,0.5414,0.0883,0.2141,0.1562
/content/drive/MyDrive/Data/Predict/469136945_18313535113160034_3300096759742689185_n.jpg,notlabeled,0.7184,0.1632,0.0347,0.0837,0.7184
/content/drive/MyDrive/Data/Predict/453775198_468154499448337_8018699495264810127_n.jpg,notlabeled,0.4156,0.4156,0.1941,0.1353,0.255
/content/drive/MyDrive/Data/Predict/453904924_805570698424250_4843073089095301066_n.jpg,notlabeled,0.7695,0.0811,0.7695,0.0884,0.0609
/content/drive/MyDrive/Data/Predict/453238099_942685194294601_5147876183999710489_n.jpg,notlabeled,0.5471,0.2862,0.0739,0.0927,0.5471
/content/drive/MyDrive/Data/Predict/453999520_506584598566769_328398683614059977_n.webp,notlabeled,0.462,0.462,0.0906,0.1625,0.2849
/content/drive/MyDrive/Data/Predict/453785912_797750639193560_3956573756475680948_n.jpg,notlabeled,0.5851,0.1735,0.5851,0.0922,0.1492
/content/drive/MyDrive/Data/Predict/453650938_18277687729232853_2498205183402212065_n.jpg,notlabeled,0.7188,0.1225,0.0768,0.0819,0.7188
/content/drive/MyDrive/Data/Predict/454105856_865038069013213_2814750406776595446_n.jpg,notlabeled,0.6201,0.1467,0.1158,0.1174,0.6201
/content/drive/MyDrive/Data/Predict/454031552_1031413865222311_5550690834064617147_n.jpg,notlabeled,0.7517,0.1176,0.7517,0.0548,0.076
/content/drive/MyDrive/Data/Predict/454151212_1580942965799486_3231193488910052303_n.jpg,notlabeled,0.652,0.2119,0.0647,0.0714,0.652
/content/drive/MyDrive/Data/Predict/454066987_1309399146692036_6458372628899859225_n.jpg,notlabeled,0.4386,0.3149,0.4386,0.1486,0.098
/content/drive/MyDrive/Data/Predict/469301717_18010333727666116_629636716091804146_n.jpg,notlabeled,0.6192,0.1566,0.1608,0.0633,0.6192
/content/drive/MyDrive/Data/Predict/453901440_1010124770423312_7376060806086906215_n.jpg,notlabeled,0.4217,0.3728,0.4217,0.0863,0.1192
/content/drive/MyDrive/Data/Predict/454057923_797272805950152_4661470507957701434_n.jpg,notlabeled,0.4876,0.4876,0.1506,0.1728,0.189
/content/drive/MyDrive/Data/Predict/454254662_1051556153354629_6119877879331104952_n.jpg,notlabeled,0.5465,0.5465,0.0694,0.2115,0.1726
/content/drive/MyDrive/Data/Predict/454043655_807156798208018_409601500031265961_n.heic,notlabeled,0.3718,0.3718,0.3038,0.123,0.2014
/content/drive/MyDrive/Data/Predict/453526087_511941544564585_3591546210930898201_n.jpg,notlabeled,0.4857,0.0617,0.186,0.4857,0.2666
/content/drive/MyDrive/Data/Predict/453977356_18296533762161523_4664332405033381932_n.jpg,notlabeled,0.4834,0.253,0.1061,0.1574,0.4834
/content/drive/MyDrive/Data/Predict/453923108_795462556091857_8003742487321741507_n.webp,notlabeled,0.5207,0.3018,0.0739,0.1036,0.5207
/content/drive/MyDrive/Data/Predict/470185301_17962823117822640_1150139906206931436_n.jpg,notlabeled,0.6973,0.6973,0.0725,0.06,0.1702
/content/drive/MyDrive/Data/Predict/453828378_492593020042864_8243416386500344311_n.jpg,notlabeled,0.4107,0.0817,0.3654,0.1421,0.4107
/content/drive/MyDrive/Data/Predict/453510350_1193714918325449_2972786266096240801_n.jpg,notlabeled,0.3341,0.3341,0.1981,0.1711,0.2967
/content/drive/MyDrive/Data/Predict/453763325_1952389418554262_3137120919167523556_n.jpg,notlabeled,0.6658,0.1779,0.0733,0.0829,0.6658
/content/drive/MyDrive/Data/Predict/453898348_460568213548617_8529296697375940079_n.jpg,notlabeled,0.4981,0.2484,0.4981,0.1802,0.0733
/content/drive/MyDrive/Data/Predict/453941532_1048007276680599_7478691579026882215_n.heic,notlabeled,0.5019,0.5019,0.2961,0.0862,0.1158
/content/drive/MyDrive/Data/Predict/453980877_18027301139253661_6442638033297742443_n.jpg,notlabeled,0.606,0.2028,0.0746,0.1166,0.606
/content/drive/MyDrive/Data/Predict/453977999_506153078556898_929012990505913176_n.jpg,notlabeled,0.3225,0.3225,0.2094,0.2137,0.2545
/content/drive/MyDrive/Data/Predict/471799189_17876670114229414_6418370845879373634_n.jpg,notlabeled,0.5498,0.5498,0.1333,0.085,0.2319
/content/drive/MyDrive/Data/Predict/454004894_869434191717206_5403144411039043595_n.jpg,notlabeled,0.6029,0.1896,0.0568,0.1507,0.6029
/content/drive/MyDrive/Data/Predict/454022502_487676167301153_5732373976665811834_n.jpg,notlabeled,0.5935,0.5935,0.0893,0.1146,0.2025
/content/drive/MyDrive/Data/Predict/453981707_7715919678474749_1312439469770728673_n.jpg,notlabeled,0.7365,0.0963,0.0989,0.7365,0.0682
/content/drive/MyDrive/Data/Predict/454032187_2595775707476753_7291451975711989523_n.jpg,Posts,0.8332,0.0902,0.0381,0.0385,0.8332
/content/drive/MyDrive/Data/Predict/471778175_17876670090229414_5681561171747515795_n.jpg,notlabeled,0.5699,0.5699,0.0874,0.1559,0.1869
/content/drive/MyDrive/Data/Predict/454002219_1253270532323040_2173098198533878298_n.jpg,notlabeled,0.7359,0.1065,0.0708,0.0868,0.7359
